IDMarketer,IDMarketer1,IDMarketerCategory,CompanyName,AccountableSurName,AccountableName,Country,Part,City,Section,Address,Telefon1,Telefon2,Telefon3,Fax,e-mail,Text1,Text2,Text3,No1,No2,No3,No4,Date1,Date2,Memo1,YesNo1,YesNo2
942,178,1,"ΚΟΥΒΕΛΗΣ-ΠΑΝΤΖΗΣ Μ. ΙΩΑΝΝΗΣ",,,"ΕΛΛΑΔΑ","ΘΕΣΣΑΛΟΝΙΚΗΣ","ΘΕΣΣΑΛΟΝΙΚΗ",,"Π. ΑΘΗΝΑΓΟΡΑ 9","2310682150",,,"2310682501",,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,,0,0
943,179,1,"ΑΛΕΥΡ/ΝΑΙ ΣΙΜ/ΠΟΙΙΑ ΚΟΜΟΤΗΝΗΣ Α.Β.Ε.Ε",,,"ΕΛΛΑΔΑ",,"ΚΟΜΟΤΗΝΗ",,"7οχλμ Ε.Ο ΚΟΜΟΤΗΝΗΣ -ΙΑΣΜΟΥ","2351071616",,,"2353071617",,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,,0,0
944,180,1,"ΜΥΛΟΙ ΛΟΥΛΗ Α.Ε",,,"ΕΛΛΑΔΑ","ΜΑΓΝΗΣΙΑΣ","ΣΟΥΡΠΗ. ΜΑΓΝΗΣΙΑΣ","ΛΙΜΕΝΑΣ-ΛΟΥΛΗ","ΣΟΥΡΠΗ","2310754000","2422077200",,"2422077300",,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,,0,0
945,181,1,"ΑΘ.ΠΟΥΡΣΑΝΙΔΗΣ Κ ΥΙΟΙ Α.Ε",,,"ΕΛΛΑΔΑ","ΘΕΣΣΑΛΟΝΙΚΗΣ","ΘΕΣΣΑΛΟΝΙΚΗ","ΚΑΒΑΛΑΡΙ -ΛΑΓΚΑΔΑ","17χλμ ΘΕΣΣΑΛΟΝΙΚΗΣ-ΚΑΒΑΛΑΣ","2394052495",,,"2394052496",,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
946,182,1,"VIORYL A.E",,,"ΕΛΛΑΔΑ","ATTIKHΣ","ΑΦΙΔΝΕΣ",,"28ΧΛΜ ΕΘΝ ΟΔΟΥ ΑΘΗΝΩΝ-ΛΑΜΙΑΣ","22950-45100",,,"22950-45250","νiορyl@vioryl.gr","Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
947,183,1,"ΜΕΒΓΑΛ","HJHGJ","HJ","ΕΛΛΑΔΑ","GJGJ","HJHK",,,,,,,,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
948,184,1,"XELLENIC FOODSERVISE S.A",,,"ΕΛΛΑΔΑ","ΘΕΣΣΣΑΛΟΝΙΚΗΣ",,"ΝΕΑ ΡΑΙΔΕΣΤΟΣ","20χλμ ΘΕΣΙΝΙΚΗΣ ΠΟΛΥΓΥΡΟΥ","2310797891","2310797335",,,,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
949,185,1,"Γ.Ε. ΑΡΓ. ΣΤΟΓΙΑΝΝΟΥ Ο.Ε",,"ΜΑΝΑΚΟΣ ΣΠΥΡΟΣ","ΕΛΛΑΔΑ","ΒΕΡΟΙΑΣ",,,"5 χλμ ΒΕΡΟΙΑΣ-ΝΑΟΥΣΑΣ","2331023224",,,"2331074700",,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
950,186,1,"ΝΗΤΣΙΟΣ ΔΗΜ.ΜΟΝ. Ε.Π.Ε",,"ΑΝΘΗΣ","ΕΛΛΑΔΑ","ΘΕΣΣΑΛΟΝΙΚΗΣ",,,,,,,,,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
951,187,1,"ΜΠΑΡΔΑΚΗΣ ΕΥΑΓΓΕΛΟΣ",,,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ","ΚΑΤΕΡΙΝΗ",,"Μ. ΑΛΕΞΑΝΔΡΟΥ 14","2351036598",,,,,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
952,188,1,"ΖΕΛΚΑΣ ΜΙΧ. & ΣΙΑ Ο.Ε",,,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ",,,"4 ΧΛΜ ΕΠ. ΟΔ ΚΑΤΕΡΙΝΗΣ-ΟΛΥΜΠ. ΑΚΤΗ","2351062773",,,"2351062773",,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
953,189,1,"ΤΣΕΛΕΓΚΕΡΙΔΗΣ ΣΑΒ. ΑΛΕΞΑΝΔΡΟΣ",,,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ","ΚΑΤΕΡΙΝΗ","ΚΑΤΕΡΙΝΗ","ΥΨΗΛΑΝΤΟΥ 36","23510 29581",,,"23510 29581",,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
954,190,1,"ΠΑΠΑΓΙΑΝΝΗΣ Σ.& ΣΙΑ Ε.Ε.",,,"ΕΛΛΑΔΑ","ΘΕΣΣΑΛΟΝΙΚΗΣ","ΘΕΣΣΑΛΟΝΙΚΗ",,"ΓΟΥΝΑΡΗ 38  54621","23210 75725",,,,,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
955,191,1,"ΓΑΒΡΙΛΗΣ",,,"ΕΛΛΑΔΑ","ΧΑΛΚΙΔΙΚΗΣ","ΓΑΛΑΤΙΣΤΑ",,,,,,,,"Μη εγκεκριμένος",,,6.5999999999999996e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
956,192,1,"ΜΑΣΟΥΤΗΣ",,,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ","ΚΑΤΕΡΙΝΗ",,,,,,,,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
958,193,1,"ΑΝΤΖΟΥΛΑΤΟΣ Α.Ε",,,"ΕΛΛΑΔΑ",,,,,,,"2105777745","2105777640",,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
959,194,1,"Τ &T FOODS A.E",,,"ΕΛΛΑΔΑ","ΘΕΣΣΑΛΟΝΙΚΗΣ",,"ΠΛΑΓΙΑΡΙ ΘΕΣ/ΝΙΚΗΣ","ΜΙΑΟΥΛΗ 58","2399051190",,,"2399051191",,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
960,195,1,"ΜΥΛΟΙ ΚΑΡΑΝΙΚΑΣ Α.Ε",,,"ΕΛΛΑΔΑ",,"ΑΛΕΞΑΝΔΡΕΙΑ",,"28ηs ΟΚΤΩΒΡΙΟΥ","2333022887",,,,,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
961,196,1,"Γ& Μ ΜΠΑΡΔΑΚΗ Ο.Ε",,,"ΕΛΛΑΔΑ","ΚΟΡΙΝΟΣ-ΠΙΕΡΙΑΣ",,,,,,,,,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
962,197,1,"ΔΙΑΜΑΝΤΗΣ-ΜΑΣΟΥΤΗΣ Α.Ε",,,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ","ΚΑΤΕΡΙΝΗ",,"2 ΧΛΜ ΚΑΤΕΡΙΝΗΣ-ΛΑΡΙΣΑ","2351046131",,,"2351046133",,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
963,198,1,"ΑΥΓΟΔΙΑΤΡΟΦΙΚΗ Α.Ε",,,"ΕΛΛΑΔΑ","ΚΙΛΚΙΣ",,,"ΝΕΑ ΣΑΝΤΑ ΚΙΛΙΚΙΣ",,,"2341066010","2341066014",,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
964,199,1,"ΤΡΟΦΟ",,,"ΕΛΛΑΔΑ","ΘΕΣΣΑΛΟΝΚΗΣ",,"ΝΕΟΧΩΡΟΥΔΑΣ",,,,,,,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
965,200,1,"ΠΕΡΜΑΝΘΟΥΛΗΣ Ε.Π.Ε",,,"ΕΛΛΑΔΑ","ΗΜΑΘΕΙΑΣ",,"ΑΡΑΧΟΣ",,"2333064633",,,,,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
966,201,1,"HELLENIC QUALITY FOODS",,,"ΕΛΛΑΔΑ","ATTIKHΣ",,"ΜΑΓΟΥΛΑ ΑΤΤΙΚΗΣ","ΛΕΩΦ. ΓΕΩΡΓΙΟΥ ΓΕΝΝΗΜΑΤΑ","2106161500",,,"2106161599",,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
967,218,1,"ΦΑΛΚΟΝ",,,"ΕΛΛΑΔΑ",,,,,,,,,,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
968,216,1,"ΠΟΛΥΠΑΝ",,,"ΕΛΛΑΔΑ",,,,,,,,,,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
969,12,2,"ΜΕΓΑΛΟΥ ΑΛΕΞΑΝΔΡΟΥ",,,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ","ΚΑΤΕΡΙΝΗ",,,,,,,,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
970,1051,6,"ΦΑΡΜΑΚΗΣ",,,"ΕΛΛΑΔΑ",,,,,,,,,,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
971,202,1,"ΜΥΛΟΙ ΘΡΑΚΗΣ Ι.ΟΥΖΟΥΝΟΠΟΥΛΟΣ",,,"ΕΛΛΑΔΑ",,"ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ",,,,,,,,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
972,203,1,"SEFCO ZEELANDIA",,,"ΕΛΛΑΔΑ",,,,,,,,,,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
973,177,1,"ΟΛΥΜΠΙΑΚΗ ΠΑΡΑΔΟΣΗ",,,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ",,,"3ΧΛΜ ΠΕΟ ΚΑΤΕΡΙΝΗΣ-ΘΕΣ/ΝΙΚΗΣ","2351042619",,,,,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
974,204,1,"ΑΜΟΙΡΙΔΗΣ Α. ΠΑΝΑΓΙΩΤΗΣ",,,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ",,,"ΕΠ.ΟΔΟΣ ΚΑΤΕΡΙΝΗΣ-Π. ΚΕΡΑΜΙΔΙΟΥ",,,"2351039453",,,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
975,205,1,"ΜΟΤΣΙΟΠΟΥΛΟΣ -ΠΑΠΑΔΟΠΟΥΛΟΣ ΑΒΕΕ","ΕΥΓΕ",,"ΕΛΛΑΔΑ","ΒΕΡΟΙΑΣ","ΒΕΡΟΙΑ","ΕΓΝΑΤΙΑ ΟΔΟΣ","11ΧΛΜ ΒΕΡΟΙΑΣ-ΘΕΣ/ΝΙΚΗΣ ΕΓΝΑΤΙΑ ΟΔΟΣ ΒΕΡΟΙΑ","2331097032",,,"2331097333",,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
976,206,1,"GRANTE CAPITAL GROUP E.Π.Ε",,,"ΕΛΛΑΔΑ","ΘΕΣΣΑΛΟΝΙΚΗΣ","ΘΕΣΣΑΛΟΝΙΚΗ",,"ΠΟΝΤΟΥ 62",,,"2310778802","2310754778",,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
977,207,1,"ΓΕΩΡΓΙΟΣ ΚΩΝ. ΓΑΛΗΣ",,,"ΕΛΛΑΔΑ","ΘΕΣΣΑΛΟΝΙΚΗΣ","ΘΕΣΣΑΛΟΝΙΚΗ","Ν. ΜΑΓΝΗΣΙΑ","ΠΡΟΕΚΤΑΣΗ ΑΡΙΣΤΟΤΕΛΟΥΣ 48","2310668239",,,,,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
978,208,1,"ΣΑΛΟΝΙΚΙΑ",,,"ΕΛΛΑΔΑ","ΘΕΣΣΑΛΟΝΙΚΗΣ",,,"12ΧΛΜ ΠΕ.Ο ΘΕΣ/ΝΙΚΗΣ-ΚΙΛΚΙΣ","2310782202",,,,,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
979,209,1,"ΦΑΒΑΣ ΔΗΜΗΤΡΙΟΣ",,,"ΕΛΛΑΔΑ",,,,"ΚΡΥΟΒΡΥΣΗ ΠΛΑΤΑΝΙΑΣ","2732044446",,,,,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
980,210,1,"ΑΓΝΟ Α.Ε",,,"ΕΛΛΑΔΑ","ΘΕΣΣΑΛΟΝΙΚΗΣ",,,"14ο ΧΛΜ ΘΕΣ/ΝΙΚΗΣ-ΛΑΓΚΑΔΑ","2394029100",,,"2394029127",,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
981,211,1,"ΒΑΣΙΛΕΙΑΔΗΣ ΤΡ. ΠΑΝΑΓΙΩΤHΣ",,,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ",,,"ΣΥΜΒΟΛΗ ΠΕΡ. ΚΑΤΕΡΙΝΗΣ-ΘΕΣ/ΝΙΚΗΣ","2351036141","2351077490",,,,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
982,212,1,"ΚΥΛΙΝΔΡ. Κ ΣΑΡΑΝΤΟΠΟΥΛΟΣ Α.Ε",,,"ΕΛΛΑΔΑ","ΑΤΤΙΚΗΣ",,"ΚΕΡΑΤΣΙΝΙ","ΛΕΩΦΟΡΟΣ ΔΗΜΟΚΚΡΑΤΙΑΣ 3","2104009696",,,"2104009888",,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
983,217,1,"ΕΥΓΕ",,,"ΕΛΛΑΔΑ",,,,,,,,,,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
984,213,1,"ΦΑΡΜΑ ΦΩΤΙΑΔΗ ΑΒΕΚΕ",,,"ΕΛΛΑΔΑ",,,,"ΕΞΟΧΗ ΠΙΕΡΙΑΣ","2351095777","2351095702",,"2351095703",,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
985,214,1,"ΚΟΛΙΟΣ Α.Ε",,,"ΕΛΛΑΔΑ",,,"14ΧΛΜ ΘΕΣΣΑΛΟΝΙΚΗΣ-ΛΑΓΚΑΔΑ",,,"2394029040-9","2394029170","2394029004-9",,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
986,215,1,"ΓΑΛΗΣ",,"ΓΙΩΡΓΟΣ-ΣΤΕΛΙΟΣ","ΕΛΛΑΔΑ",,,,,,,,,,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
987,219,1,"ΒΙΟΔΟΜΗ Α.Ε.",,,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ",,"ΚΟΥΚΟΣ",,,,,,,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
988,0,1,"ΜΠΟΥΡΝΟΥΚΑΣ ΣΠΥΡΟΣ","ΙΔΙΟΣ",,"ΕΛΛΑΔΑ",,"ΚΑΤΕΡΙΝΗ","ΠΑΡΑΛΙΑ",,"2351078718",,,,,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
989,220,1,"ΑΦΟΙ ΓΡΗΓΟΡΙΟΥ ΚΑΡΑΜΗΤΡΟΥ Ο.Ε.",,,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ",,,"ΔΙΟΝ ΠΙΕΡΙΑΣ","2351053374","2351032988",,,,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
990,221,1,"ΠΕΛΛΑΣ ΚΙΜΩΝ &ΣΙΑ Ο.Ε.",,,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ",,"ΚΟΛΙΝΔΡΟΣ",,"2353031893",,,,,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
991,222,1,"ΒΙΟΥΓΕΙΑ ΕΠΕ",,,"ΕΛΛΑΔΑ","ΑΤΤΙΚΗΣ",,,"ΑΡΓΥΡΟΠΟΛΕΩΣ 5","2106215160","2106215600",,"2102823379",,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
992,223,1,"ΚΟΡΦΗ",,,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ",,,"ΚΑΤΩ ΑΓΙ.ΙΩΑΝΝΗΣ ΠΙΕΡΙΑΣ","2351091696",,,"2351091767",,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
993,224,1,"GREGO GREEK GOLD FRUITS",,,"ΕΛΛΑΔΑ","ΓΙΑΝΝΙΤΣΩΝ","ΓΙΑΝΝΙΤΣΑ","ΚΡΥΑ ΒΡΥΣΗ","Β.ΠΑΥΛΟΥ 2","2382500996",,,"2382063827",,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
994,225,1,"ΜΠΟΥΖΑΣ Δ-Ι ΣΑΡΡΗΣ Ο.Ε.",,,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ",,,"ΑΥΓΟΥΣΤΙΝΟΥ 1","6984901974","6973357691",,,,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
995,13,2,"ΛΙΤΟΧΩΡΟ",,,"ΕΛΛΑΔΑ",,,,,,,,,,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,0,0
